14369,14821
2299,17016
9898,15041
142,15889
7427,15599
3194,14940
7339,15906
1201,16035
3158,16649
8906,15616
5914,14829
5440,16598
6218,16770
99,16130
13259,15672
8415,15497
5225,16826
1277,16652
3435,15315
10850,15249
11376,16652
11920,15977
13764,17093
899,17059
1699,16545
10204,17092
8233,16863
12261,16763
11690,15233
5348,16504
6133,17135
10578,17066
13574,16392
12904,15817
12665,15201
7800,14770
3580,15827
6220,15118
8064,16107
9391,16203
11172,16466
536,17243
8753,15117
9460,16863
5650,16570
1643,16041
5648,16550
4410,15079
14293,16261
3244,16581
12163,15257
1211,14658
13817,15417
13494,16504
8753,14712
3360,14918
977,16602
1582,16229
71,17235
2166,15316
11717,17043
12772,16860
13137,15448
7339,14792
2360,15879
8476,16687
8256,14703
12306,15838
4181,15420
7643,15692
5235,16275
1783,15898
5574,16326
348,14656
10357,15012
9956,17148
12313,17063
6246,15885
12562,16986
7094,16095
8095,15090
12618,16535
4923,16729
3129,17040
5755,17032
4724,16523
4608,16369
10625,16331
6515,16974
11620,15910
420,15361
2742,17228
1558,15323
8814,16421
11866,14958
10334,14870
9530,16076
8371,16674
12486,15753
6910,16980
3815,15903
4082,15055
12027,15604
12743,14807
7480,16698
950,16057
14448,15110
8182,15538
13218,15983
2087,15462
10871,15176
9648,15500
3767,16924
1460,16839
10962,16345
3536,16828
2703,14830
8740,15553
10470,15666
7583,16269
13231,14776
7852,16525
325,14810
7167,15159
14272,16630
40,16538
3751,14870
7594,15163
5279,14755
11585,16302
1547,16952
2277,16425
7210,16483
5344,15039
114,17214
8102,15280
12570,15844
6296,15887
13526,16398
11778,14664
14636,16895
2962,15259
2593,15751
61,15989
5370,15671
10788,16481
2035,16313
2162,14869
6371,14658
959,16527
3728,16576
11265,15063
6560,14762
8364,15810
10663,15137
6749,15745
3807,16548
7028,16416
5785,16336
6790,16257
3325,14907
7568,16111
361,15151
10941,16730
8950,16743
2675,15947
11462,15088
1979,14743
14144,16383
10218,15212
9177,16997
601,16516
12473,14853
2058,16736
7478,15187
13005,14947
1283,15519
11559,16408
4519,16689
12778,15489
5409,16709
7674,16445
14057,15068
9451,16956
5924,16128
11281,15384
3391,16347
12737,16766
1148,16989
6450,14767
12316,14702
6307,16361
2326,15800
7173,16843
399,17015
3405,15828
2312,15412
3396,15882
11513,16710
6116,16503
924,14810
5757,16184
1537,17265
4857,15811
12457,14713
3809,15310
3164,14849
5749,16825
14105,14747
5604,15412
7653,16035
10217,15300
890,16173
10262,15726
1286,17128
2048,16269
14623,16076
11625,16679
4735,17053
12140,15797
14034,16353
2549,14953
6989,16507
7793,15898
10925,15439
7920,16732
9174,16580
14323,16986
9513,16675
2344,14985
6909,17050
11419,15799
10409,16579
8251,15474
2729,15231
5469,16856
11267,16634
4536,15656
6229,15344
4729,15417
4677,16403
9753,15065
13816,15936
3161,16737
4103,14874
14167,15756
11562,15883
6403,14975
4028,16144
12994,14679
8630,14836
1492,16785
7044,17063
7845,15306
8427,16258
2113,16180
11392,15441
8102,16863
4784,15784
10570,15737
10735,16491
6616,15085
12623,14916
543,16162
8760,16900
11709,15831
10248,15273
10049,17020
4636,15936
8341,16565
1510,16893
9773,15123
472,15911
8445,15471
9516,16062
25,16683
6100,17127
5301,15840
5823,15511
5564,16406
12777,14786
6097,15376
113,17262
6465,15515
9824,15744
12906,17209
4287,15323
1475,16870
